id,dtto_fed,dtto_loc,clave,municipio,created_at,updated_at,deleted_at
1,07,15,001,Acacoyagua,NULL,"2023-01-31 10:49:40",NULL
2,06,03,002,Acala,NULL,"2023-01-31 10:49:40",NULL
3,07,16,003,Acapetahua,NULL,"2023-01-31 10:49:40",NULL
4,11,20,004,Altamirano,NULL,"2023-01-31 10:49:40",NULL
5,02,11,005,Amatán,NULL,"2023-01-31 10:49:40",NULL
6,13,17,006,"Amatenango de la Frontera",NULL,"2023-01-31 10:49:41",NULL
7,11,21,007,"Amatenango del Valle",NULL,"2023-01-31 10:49:41",NULL
8,10,17,008,"Ángel Albino Corzo",NULL,"2023-01-31 10:49:41",NULL
9,07,15,009,Arriaga,NULL,"2023-01-31 10:49:41",NULL
10,13,17,010,"Bejucal de Ocampo",NULL,"2023-01-31 10:49:41",NULL
11,13,10,011,"Bella Vista",NULL,"2023-01-31 10:49:41",NULL
12,04,02,012,Berriozabal,NULL,"2023-01-31 10:49:41",NULL
13,02,11,013,Bochil,NULL,"2023-01-31 10:49:41",NULL
14,02,08,014,"El Bosque",NULL,"2023-01-31 10:49:42",NULL
15,12,18,015,Cacahoatán,NULL,"2023-01-31 10:49:42",NULL
16,01,09,016,Catazajá,NULL,"2023-01-31 10:49:42",NULL
17,10,14,017,Cintalapa,NULL,"2023-01-31 10:49:42",NULL
18,04,11,018,Coapilla,NULL,"2023-01-31 10:49:42",NULL
19,08,06,019,"Comitán de Domínguez",NULL,"2023-01-31 10:49:42",NULL
20,10,23,020,"La Concordia",NULL,"2023-01-31 10:49:42",NULL
21,04,12,021,Copainalá,NULL,"2023-01-31 10:49:42",NULL
22,02,08,022,Chalchihuitán,NULL,"2023-01-31 10:49:42",NULL
23,05,22,023,Chamula,NULL,"2023-01-31 10:49:42",NULL
24,11,21,024,Chanal,NULL,"2023-01-31 10:49:43",NULL
25,04,12,025,Chapultenango,NULL,"2023-01-31 10:49:43",NULL
26,02,08,026,Chenalhó,NULL,"2023-01-31 10:49:43",NULL
27,06,03,027,"Chiapa de Corzo",NULL,"2023-01-31 10:49:43",NULL
28,06,03,028,Chiapilla,NULL,"2023-01-31 10:49:43",NULL
29,04,02,029,Chicoasén,NULL,"2023-01-31 10:49:43",NULL
30,13,10,030,Chicomuselo,NULL,"2023-01-31 10:49:43",NULL
31,03,24,031,Chilón,NULL,"2023-01-31 10:49:43",NULL
